Chain,Address,Label
Ethereum,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
Ropsten,WETH,0xc778417E063141139Fce010982780140Aa0cD5Ab
Rinkeby,WETH,0xc778417E063141139Fce010982780140Aa0cD5Ab
Goerli,WETH,0xB4FBF271143F4FBf7B91A5ded31805e42b2208d6
Kovan,WETH,0xd0A1E359811322d97991E03f863a0C30C2cF029C
Optimism,WETH,0x4200000000000000000000000000000000000006
Optimistic Kovan,WETH,0x4200000000000000000000000000000000000006
Arbitrum One,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1
Arbitrum Rinkeby,WETH,0xB47e6A5f8b33b3F17603C83a0535A9dcD7E32681
Polygon,WMATIC,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270
Polygon Mumbai,WMATIC,0x9c3C9283D3e44854697Cd22D3Faa240Cfb032889
